Material,Normalized_TEMP_Cels,Normalized_O2_PP_mtorr,Normalized_FREQ_Hz,MP,Density (g/cm3),Formation Energy (eV/atom),Molar Mass (g/mol),Weighted Avg Electronegativity,Wt Avg Atomic Number,Wt Avg Conductivity,Wt avg Radius,Wt avg Specific Heat(J/kg/K),Wt avg Ionisation(KJ/mol),Wt avg Hardness(MPa)
Zn0,539.6,8132.63,6.369512195,1975,5.7,-1.647,81.38,2.545,19,60.01329,95,492.39,986.51,331
YBCO,689.17,36361.91,4.57,1050,6.2,-2.175,666.19,2.52153846,22.61538462,96.3989,114.5384615,306.6,623.96,352.91
WO3,443.17,447.89,6.5277,1473,7.14,-2.178,231.84,3.17,24.5,42.519935,84.25,294.93,882.6,2037.94
VO2,518.23,42.78,7.2,1967,4.47,-2.476,82.94,2.83666667,13,10.35105333,89,654.89,906.68,385.72
TiO2,549.21,115.18,9.122,1843,4.31,-3.316,79.866,2.80666667,12.66666667,7.35105333,90.66666667,679.86,921.27,429.13
NiO,500,87.4,4.34,1955,5.817678571,-1.216,74.6928,2.675,18,45.51329,98.5,546.53,860.65,550.06
La0.7Sr0.3MnO3,713.02,8561.6,4.023809524,1650,6.5,,226.45,2.585,20.06,5.495948,74.14,692.5,1040.104,90.02
AlN,656.17,17.95,9.117647059,2200,3.2,-1.68,40.9882,2.325,10,117.512915,87,950.48,859.36,161.28
Al2O3,625,421.23,4.923076923,2072,3.78,-3.403,101.96,2.708,10,94.015948,76,911.06,924.16,129.67
Al2O4Zn,412,40.5,7.966666667,133,4.63,-3.019,183.34,2.66142857,12.57142857,84.30090286,81.42857143,838.8571429,1045.285714,128.8571429
Ba0.6Sr0.4TiO3,678.22,63587.93,4.916666667,"1,300",6.2,,213.3082,2.5548,18.96,9.375948,111.88,704,1024.408,143.2
BaTiO3,625.41,9194.65,45.65,1625,5.91,-3.49,233.192,2.55,20.4,8.015948,114.6,416.63,701.83,143.2
BaO4SrTi,688.84,120.237,33.28571429,183,6.2,,336.81,2.44857143,21.14285714,120,120,671.5714286,995.2571429,102.2857143
BaTiO,707.6,83.437,2.78125,"1,625",5.91,-3.49,233.192,2.55,28.66666667,13.34219333,159,548,825.2,238.6666667
CeO2,525,40.85,2.181818182,2400,6.99,-3.76,172.115,2.66666667,24.66666667,3.68438667,32,676.6666667,1054.066667,137.3333333
CoFe2O4,603.84,3550.87,7.672962963,1570,5.17,-1.57,234.62,2.75714286,15.85714286,37.15804571,93.71428571,712.2857143,1077.285714,240
Cu2ZnSnS4,444.75,17157.56,9.454545455,990,4.64,0,439.471,1.998,25.25,123.4775,116.125,524.225,888.05,276.375
Fe3O4,480.76,12.711,5.45,1597,4.9,-1.625,231.533,2.75,15.71428571,34.30090286,94.28571429,717.5714286,1077.585714,210
Ga2O3,576.07,815.648,4.526315789,1900,6.42,-2.084,187.444,2.788,17.2,11.615948,83.2,699.8,1019.86,24
Ga2O4Zn,476.35,12634.761,7.307692308,1620.681818,6.15,-2.027, 268.859,2.71857143,17.71428571,25.44376,86.57142857,686.5714286,1045.657143,76
In2O3,590.6,25.76,6.666666667,1910,7.19,-1.843,277.64,2.776,24.4,32.815948,91.2,644.6,1011.66,3.532
La0.7Ca0.3MnO3,686.96,354.28,4.363636364,1500,6.75,,212.192,2.59,19.72,11.655948,72.64,712.36,1042.522,100.04
MnO,611.66,126.89,9.409090909,1945,4.35,-1.947,70.9374,2.495,16.5,3.91329,104.5,699,1015.6,98
SnO2,491.76,68.74,7,1127,6.87,-1.888,150.71,2.94666667,22,22.35105333,80.33333333,685,1112.133333,17
SrTiO3,672.53,1654.26,4.3,2080,5.09,-3.454,183.49,2.562,16.8,11.415948,107.8,715.4,1030,143.2
O5Y2Zr,665.47,65.05,9.714285714,2700,6.08,,349.0307,2.62125,19.75,19.75,108.75,683.625,1051.2,228.5
